filename,class,rise_time,decay_time,zcr,even_components,odd_components,spectral_centroid,spectral_irregularity
b_5.wav,skrzypce,0.018798,0.000363,0.043000,17.785749,18.688977,1212.219690,0.811434
C4.wav,skrzypce,0.011406,0.000658,0.018000,16.495469,17.441388,804.847304,0.916350
C5.wav,skrzypce,0.006281,0.000340,0.024000,18.663645,19.013603,1208.396404,0.793038
Cis4.wav,skrzypce,0.016009,0.000635,0.021000,19.038101,19.676047,944.641770,0.852707
Cis5.wav,skrzypce,0.016440,0.000499,0.025000,43.978032,49.144948,1054.294463,0.897824
D4.wav,skrzypce,0.014966,0.000567,0.015000,17.821427,15.946669,733.103855,0.985105
D5.wav,skrzypce,0.008435,0.000454,0.028000,11.367023,11.246180,1388.536009,0.807568
Dis4.wav,skrzypce,0.017166,0.000544,0.028000,23.322273,22.426192,883.197171,0.950846
Dis5.wav,skrzypce,0.022018,0.000317,0.033000,23.416952,24.629033,1425.884797,0.834822
E4.wav,skrzypce,0.010159,0.000408,0.021000,15.625454,16.372000,1016.939216,0.879469
E5.wav,skrzypce,0.017823,0.000363,0.030000,13.910446,14.417546,1693.365114,0.892372
F4.wav,skrzypce,0.009456,0.000363,0.030000,17.639350,18.398579,884.055679,0.981964
F5.wav,skrzypce,0.013719,0.000317,0.031000,36.482267,34.107904,1243.398128,0.863530
Fis4.wav,skrzypce,0.005102,0.000635,0.019000,13.485993,14.417553,1085.563599,0.850086
Fis5.wav,skrzypce,0.006440,0.000227,0.063000,13.355862,14.909932,1522.328950,0.751479
G4.wav,skrzypce,0.007143,0.000635,0.017000,22.160210,20.504382,980.285829,0.904786
G_4.wav,skrzypce,0.031134,0.000544,0.018000,17.544492,15.600507,896.215634,0.929497
Gis4.wav,skrzypce,0.007347,0.000680,0.028000,17.077069,17.303801,1097.469145,0.864675
Gis5.wav,skrzypce,0.003968,0.000567,0.054000,16.696596,18.202163,1625.035774,0.746220
Gis_4.wav,skrzypce,0.008413,0.000363,0.023000,16.932608,16.798077,1088.840124,0.829254
